--stream .\stream-rmse-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
2.50694 46.8818
2.51389 46.8782
2.52083 46.9026
2.52778 46.9026
2.53472 46.9087
2.54167 46.9087
2.54861 46.9396
2.55556 46.9396
2.5625 46.948
2.56944 46.9583
2.57639 46.9641
2.58333 46.9755
2.59028 46.977
2.59722 46.9995
2.60417 46.9973
2.61111 47.0153
2.61806 47.0174
2.625 47.0391
2.63194 47.0391
2.63889 47.048
2.64583 47.0392
2.65278 47.0503
2.65972 47.062
2.66667 47.062
2.67361 47.0631
2.68056 47.0631
2.6875 47.0916
2.69444 47.0916
2.70139 47.1029
2.70833 47.1029
2.71528 47.1214
2.72222 47.1214
2.72917 47.1386
2.73611 47.1332
2.74306 47.1702
2.75 47.192
2.75694 47.192
2.76389 47.2115
2.77083 47.2061
2.77778 47.2266
2.78472 47.2337
2.79167 47.2471
2.79861 47.2418
2.80556 47.2733
2.8125 47.2733
2.81944 47.2778
2.82639 47.2778
2.83333 47.2908
2.84028 47.2908
2.84722 47.3015
2.85417 47.3015
2.86111 47.3073
2.86806 47.3436
2.875 47.3436
2.88194 47.3504
2.88889 47.361
2.89583 47.3746
2.90278 47.386
2.90972 47.3824
2.91667 47.4205
2.92361 47.464
2.93056 47.4817
2.9375 47.4817
2.94444 47.4861
2.95139 47.487
2.95833 47.4954
2.96528 47.5057
2.97222 47.5057
2.97917 47.5184
2.98611 47.5287
2.99306 47.5332
3 47.5435
3.00694 47.5458
3.01389 47.5665
3.02083 47.565
3.02778 47.5807
3.03472 47.5807
3.04167 47.5856
3.04861 47.5856
3.05556 47.5911
3.0625 47.5911
3.06944 47.6013
3.07639 47.5961
3.08333 47.6063
3.09028 47.6011
3.09722 47.611
3.10417 47.614
3.11111 47.6243
3.11806 47.6181
3.125 47.631
3.13194 47.6425
3.13889 47.6628
3.14583 47.6628
3.15278 47.6894
3.15972 47.6894
3.16667 47.7178
3.17361 47.728
3.18056 47.7333
3.1875 47.7434
3.19444 47.7392
3.20139 47.7795
3.20833 47.8086
3.21528 47.8086
3.22222 47.8122
3.22917 47.8122
3.23611 47.8424
3.24306 47.8627
3.25 47.8564
3.25694 47.8824
3.26389 47.8824
3.27083 47.8947
3.27778 47.9048
3.28472 47.9096
3.29167 47.9191
3.29861 47.9191
3.30556 47.927
3.3125 47.927
3.31944 47.9393
3.32639 47.938
3.33333 47.9681
3.34028 47.9681
3.34722 47.9736
3.35417 47.9847
3.36111 47.9947
3.36806 47.9947
3.375 47.9953
3.38194 48.0352
3.38889 48.045
3.39583 48.0424
3.40278 48.0524
3.40972 48.0466
3.41667 48.0765
3.42361 48.0765
3.43056 48.0859
3.4375 48.0859
3.44444 48.1124
3.45139 48.1236
3.45833 48.1254
3.46528 48.1523
3.47222 48.1523
3.47917 48.1746
3.48611 48.1941
3.49306 48.1941
3.5 48.1999
3.50694 48.1999
3.51389 48.2161
3.52083 48.2161
3.52778 48.2263
3.53472 48.2376
3.54167 48.2351
3.54861 48.2666
3.55556 48.2666
3.5625 48.2908
3.56944 48.2908
3.57639 48.2893
3.58333 48.2991
3.59028 48.309
3.59722 48.3192
3.60417 48.3179
