--stream .\stream-rmse-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
7.27083 56.3792
7.27778 56.4287
7.28472 56.477
7.29167 56.5265
7.29861 56.5749
7.30556 56.6271
7.3125 56.6782
7.31944 56.7308
7.32639 56.7834
7.33333 56.8332
7.34028 56.8865
7.34722 56.9133
7.35417 56.9133
7.36111 56.976
7.36806 57.0278
7.375 57.0805
7.38194 57.1292
7.38889 57.1736
7.39583 57.2259
7.40278 57.2792
7.40972 57.3341
7.41667 57.3883
7.42361 57.4441
7.43056 57.5012
7.4375 57.5565
7.44444 57.5706
7.45139 57.5706
7.45833 57.6091
7.46528 57.6503
7.47222 57.6503
7.47917 57.6618
7.48611 57.6771
7.49306 57.6771
7.5 57.7315
7.50694 57.7795
7.51389 57.8375
7.52083 57.8931
7.52778 57.9492
7.53472 58.0036
7.54167 58.0437
7.54861 58.0437
7.55556 58.0474
7.5625 58.0955
7.56944 58.1521
7.57639 58.2068
7.58333 58.2508
7.59028 58.2508
7.59722 58.3026
7.60417 58.3512
7.61111 58.3686
7.61806 58.3686
7.625 58.4167
7.63194 58.4727
7.63889 58.4873
7.64583 58.4824
7.65278 58.5469
7.65972 58.6066
7.66667 58.6501
7.67361 58.6501
7.68056 58.6811
7.6875 58.7481
7.69444 58.8034
7.70139 58.8503
7.70833 58.9081
7.71528 58.9626
7.72222 58.9743
7.72917 58.9743
7.73611 58.9957
7.74306 59.0221
7.75 59.0221
7.75694 59.1048
7.76389 59.1521
7.77083 59.1966
7.77778 59.241
7.78472 59.2852
7.79167 59.3289
7.79861 59.3726
7.80556 59.4164
7.8125 59.46
7.81944 59.5039
7.82639 59.548
7.83333 59.5923
7.84028 59.6369
7.84722 59.6816
7.85417 59.7266
7.86111 59.7718
7.86806 59.817
7.875 59.8622
7.88194 59.9078
7.88889 59.9534
7.89583 59.9993
7.90278 60.0454
7.90972 60.0919
7.91667 60.1385
7.92361 60.1855
7.93056 60.2328
7.9375 60.2803
7.94444 60.3282
7.95139 60.3765
7.95833 60.425
7.96528 60.4739
7.97222 60.523
7.97917 60.5726
7.98611 60.6224
7.99306 60.6726
8 60.723
8.00694 60.7736
8.01389 60.8245
8.02083 60.8762
8.02778 60.9278
8.03472 60.9796
8.04167 61.0316
8.04861 61.0843
8.05556 61.132
8.0625 61.1851
8.06944 61.2386
8.07639 61.2948
8.08333 61.3493
8.09028 61.4045
8.09722 61.4598
8.10417 61.5153
8.11111 61.5714
8.11806 61.6276
8.125 61.6843
8.13194 61.7413
8.13889 61.7987
8.14583 61.8562
8.15278 61.9143
8.15972 61.9727
8.16667 62.0315
8.17361 62.0909
8.18056 62.1563
8.1875 62.2164
8.19444 62.2768
8.20139 62.3375
8.20833 62.3982
8.21528 62.4593
8.22222 62.52
8.22917 62.5801
8.23611 62.6392
8.24306 62.6987
8.25 62.7561
8.25694 62.8133
8.26389 62.8707
8.27083 62.929
8.27778 62.987
8.28472 63.0456
8.29167 63.1047
8.29861 63.1622
8.30556 63.2185
8.3125 63.277
8.31944 63.3367
8.32639 63.3969
8.33333 63.4569
8.34028 63.5171
8.34722 63.5794
8.35417 63.64
8.36111 63.6991
8.36806 63.759
8.375 63.8198
8.38194 63.8795
8.38889 63.9411
8.39583 64.0028
8.40278 64.0642
8.40972 64.1272
8.41667 64.1888
8.42361 64.2511
8.43056 64.3162
8.4375 64.3789
8.44444 64.4422
8.45139 64.504
8.45833 64.5676
8.46528 64.6275
8.47222 64.6813
8.47917 64.7308
8.48611 64.7804
8.49306 64.8286
8.5 64.8787
8.50694 64.935
8.51389 64.976
8.52083 65.0181
8.52778 65.0591
8.53472 65.0998
8.54167 65.1404
8.54861 65.1811
8.55556 65.2219
8.5625 65.2628
8.56944 65.3038
8.57639 65.3452
8.58333 65.3865
8.59028 65.4279
8.59722 65.4697
8.60417 65.5114
8.61111 65.5533
8.61806 65.5951
8.625 65.6369
8.63194 65.679
8.63889 65.7214
8.64583 65.7641
8.65278 65.8072
8.65972 65.8505
8.66667 65.8938
8.67361 65.9374
8.68056 65.9813
8.6875 66.0255
8.69444 66.0699
8.70139 66.1146
8.70833 66.1597
8.71528 66.2052
8.72222 66.2508
8.72917 66.297
8.73611 66.3433
8.74306 66.3902
8.75 66.4373
8.75694 66.4845
8.76389 66.5322
8.77083 66.5802
8.77778 66.6284
8.78472 66.6769
8.79167 66.7256
8.79861 66.75
8.80556 66.75
8.8125 66.7671
8.81944 66.8162
8.82639 66.8657
8.83333 66.9156
8.84028 66.9661
8.84722 67.0171
8.85417 67.0684
8.86111 67.1202
8.86806 67.1722
8.875 67.2245
8.88194 67.2769
8.88889 67.3298
8.89583 67.3831
8.90278 67.4369
8.90972 67.4911
8.91667 67.5458
8.92361 67.601
8.93056 67.6566
8.9375 67.7128
8.94444 67.7694
8.95139 67.8267
8.95833 67.884
8.96528 67.9421
8.97222 68
8.97917 68.0584
8.98611 68.1169
8.99306 68.1754
9 68.2338
9.00694 68.292
9.01389 68.3355
9.02083 68.3355
9.02778 68.3319
