--stream stream-histogram-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
2.19444 0.140313
2.20139 0.140916
2.20833 0.140883
2.21528 0.14089
2.22222 0.138129
2.22917 0.136224
2.23611 0.135837
2.24306 0.135796
2.25 0.135796
2.25694 0.13366
2.26389 0.133497
2.27083 0.133538
2.27778 0.133545
2.28472 0.134013
2.29167 0.133924
2.29861 0.133823
2.30556 0.133823
2.3125 0.130351
2.31944 0.129496
2.32639 0.129516
2.33333 0.129503
2.34028 0.126906
2.34722 0.124973
2.35417 0.124946
2.36111 0.124959
2.36806 0.124959
2.375 0.120782
2.38194 0.120931
2.38889 0.12089
2.39583 0.119324
2.40278 0.111837
2.40972 0.110982
2.41667 0.111111
2.42361 0.111098
2.43056 0.108059
2.4375 0.108459
2.44444 0.108473
2.45139 0.108466
2.45833 0.107856
2.46528 0.105184
2.47222 0.105109
2.47917 0.10513
2.48611 0.10513
2.49306 0.102702
2.5 0.10243
2.50694 0.102396
2.51389 0.10241
2.52083 0.100606
2.52778 0.100131
2.53472 0.100097
2.54167 0.100138
2.54861 0.09828
2.55556 0.0978188
2.5625 0.0977511
2.56944 0.097724
2.57639 0.094679
2.58333 0.0938109
2.59028 0.0937705
2.59722 0.0937703
2.60417 0.0937703
2.61111 0.0916883
2.61806 0.0918172
2.625 0.0917901
2.63194 0.0917901
2.63889 0.0877548
2.64583 0.0877413
2.65278 0.0877956
2.65972 0.0878227
2.66667 0.0873682
2.67361 0.0872732
2.68056 0.0872801
2.6875 0.0872395
2.69444 0.0862223
2.70139 0.0862494
2.70833 0.0864527
2.71528 0.08648
2.72222 0.0851709
2.72917 0.0830348
2.73611 0.0831162
2.74306 0.0831229
2.75 0.0831229
2.75694 0.0804849
2.76389 0.0805662
2.77083 0.0805459
2.77778 0.0805458
2.78472 0.0788234
2.79167 0.0790608
2.79861 0.0789861
2.80556 0.0789793
2.8125 0.0770127
2.81944 0.0732421
2.82639 0.0732488
2.83333 0.073276
2.84028 0.073276
2.84722 0.0716959
2.85417 0.0716823
2.86111 0.0717026
2.86806 0.0717161
2.875 0.0662908
2.88194 0.0658364
2.88889 0.0657822
2.89583 0.0658161
2.90278 0.061008
2.90972 0.0599839
2.91667 0.0600381
2.92361 0.0600043
2.93056 0.0573256
2.9375 0.0564914
2.94444 0.056471
2.95139 0.0564981
2.95833 0.0564981
2.96528 0.0539345
2.97222 0.0538193
2.97917 0.0538398
2.98611 0.0538466
2.99306 0.0519341
3 0.0517373
3.00694 0.0516491
3.01389 0.0516626
3.02083 0.0484754
3.02778 0.0480481
3.03472 0.0482922
3.04167 0.0483194
3.04861 0.0466918
3.05556 0.0446506
3.0625 0.0446912
3.06944 0.0447183
3.07639 0.0418903
3.08333 0.0403373
3.09028 0.0407782
3.09722 0.0407511
3.10417 0.0407443
3.11111 0.036621
3.11806 0.03656
3.125 0.03656
3.13194 0.0365397
3.13889 0.0338472
3.14583 0.0331556
3.15278 0.0331081
3.15972 0.0331149
3.16667 0.03047
3.17361 0.0300224
3.18056 0.0298868
3.1875 0.0299139
3.19444 0.0299139
3.20139 0.0298597
3.20833 0.0298529
3.21528 0.0298598
3.22222 0.029853
3.22917 0.0298394
3.23611 0.0298258
3.24306 0.0299344
3.25 0.0299412
3.25694 0.0299412
3.26389 0.0298461
3.27083 0.0298732
3.27778 0.0298596
3.28472 0.0298596
3.29167 0.0298054
3.29861 0.0297104
3.30556 0.0297106
3.3125 0.0297106
3.31944 0.0295613
3.32639 0.0295884
3.33333 0.0295749
3.34028 0.0295816
3.34722 0.0295613
3.35417 0.0295885
3.36111 0.0296494
3.36806 0.0295884
3.375 0.0295884
3.38194 0.0296834
3.38889 0.0297377
3.39583 0.0297444
3.40278 0.0297444
3.40972 0.0294936
3.41667 0.0295748
3.42361 0.0295477
3.43056 0.0295477
3.4375 0.0296222
3.44444 0.0294596
3.45139 0.0295002
3.45833 0.0294866
3.46528 0.0295952
3.47222 0.0293917
3.47917 0.0293171
